2026-01-31 11:26:29,622 | INFO | Historical Data | [268/9165] Downloading 691UP30A-SG
2026-01-31 11:26:29,710 | INFO | Historical Data | [269/9165] Downloading 69GA30A-SG
2026-01-31 11:26:29,795 | INFO | Historical Data | [270/9165] Downloading 5PAISA
2026-01-31 11:26:29,934 | INFO | Historical Data | [271/9165] Downloading 69HP30-SG
2026-01-31 11:26:30,026 | INFO | Historical Data | [272/9165] Downloading 687MH30-SG
2026-01-31 11:26:30,117 | INFO | Historical Data | [273/9165] Downloading 686KA30-SG
2026-01-31 11:26:30,207 | INFO | Historical Data | [274/9165] Downloading 684GJ30-SG
2026-01-31 11:26:30,294 | INFO | Historical Data | [275/9165] Downloading 715JK32-SG
2026-01-31 11:26:30,380 | INFO | Historical Data | [276/9165] Downloading 707MP32-SG
2026-01-31 11:26:30,471 | INFO | Historical Data | [277/9165] Downloading 705MH32-SG
2026-01-31 11:26:30,560 | INFO | Historical Data | [278/9165] Downloading HDFCLIFE
2026-01-31 11:26:30,691 | INFO | Historical Data | [279/9165] Downloading 708KA34-SG
2026-01-31 11:26:30,783 | INFO | Historical Data | [280/9165] Downloading 71AP37-SG
2026-01-31 11:26:30,873 | INFO | Historical Data | [281/9165] Downloading OSWALGREEN
2026-01-31 11:26:31,009 | INFO | Historical Data | [282/9165] Downloading 709WB40-SG
2026-01-31 11:26:31,105 | INFO | Historical Data | [283/9165] Downloading 3MINDIA
2026-01-31 11:26:31,224 | INFO | Historical Data | [284/9165] Downloading 703AP40-SG
2026-01-31 11:26:31,315 | INFO | Historical Data | [285/9165] Downloading BIRLACABLE
2026-01-31 11:26:31,450 | INFO | Historical Data | [286/9165] Downloading BIRLACORPN
2026-01-31 11:26:31,578 | INFO | Historical Data | [287/9165] Downloading AISL-SM
2026-01-31 11:26:31,695 | INFO | Historical Data | [288/9165] Downloading ICEMAKE
2026-01-31 11:26:31,819 | INFO | Historical Data | [289/9165] Downloading BLUEDART
2026-01-31 11:26:31,938 | INFO | Historical Data | [290/9165] Downloading 903SFL28-YI
2026-01-31 11:26:32,037 | INFO | Historical Data | [291/9165] Downloading PULZ-SM
2026-01-31 11:26:32,183 | INFO | Historical Data | [292/9165] Downloading MAZDOCK
2026-01-31 11:26:32,300 | INFO | Historical Data | [293/9165] Downloading BOMDYEING
2026-01-31 11:26:32,422 | INFO | Historical Data | [294/9165] Downloading ICICIB22
2026-01-31 11:26:32,546 | INFO | Historical Data | [295/9165] Downloading BPCL
2026-01-31 11:26:32,671 | INFO | Historical Data | [296/9165] Downloading UTIAMC
2026-01-31 11:26:32,791 | INFO | Historical Data | [297/9165] Downloading BPL
2026-01-31 11:26:32,920 | INFO | Historical Data | [298/9165] Downloading BRITANNIA
2026-01-31 11:26:33,061 | INFO | Historical Data | [299/9165] Downloading BSL
